ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;price_H;pseudoprice_H;baseprice_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;variantId_2;articleId_2;name_2;keywords_2;metaTitle_2;description_2;descriptionLong_2;additionalText_2;packUnit_2;attr1_2;attr2_2;attr3_2;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle
AD00363;AD00363;Diplom-Ingenieure;;"MaxxDiscount GmbH & Co. KG";19.00;2874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00364;AD00364;Direktmarketingunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;3419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00365;AD00365;Direktwerbeagenturen;;"MaxxDiscount GmbH & Co. KG";19.00;3419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00366;AD00366;Diskotheken;;"MaxxDiscount GmbH & Co. KG";19.00;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00367;AD00367;"Display Hersteller";;"MaxxDiscount GmbH & Co. KG";19.00;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00368;AD00368;Dolmetscher;;"MaxxDiscount GmbH & Co. KG";19.00;30615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00369;AD00369;"Dolmetscher- und Übersetzungsb";;"MaxxDiscount GmbH & Co. KG";19.00;414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00370;AD00370;Drechslereien;;"MaxxDiscount GmbH & Co. KG";19.00;532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00371;AD00371;Drehereien;;"MaxxDiscount GmbH & Co. KG";19.00;803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00372;AD00372;"Drehteile Hersteller";;"MaxxDiscount GmbH & Co. KG";19.00;803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00373;AD00373;"Dresdner Bank-Zweigstellen";;"MaxxDiscount GmbH & Co. KG";19.00;164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00374;AD00374;Drogeriemärkte;;"MaxxDiscount GmbH & Co. KG";19.00;783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00375;AD00375;Drogerien;;"MaxxDiscount GmbH & Co. KG";19.00;783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00376;AD00376;"Druck Dienstleistung";;"MaxxDiscount GmbH & Co. KG";19.00;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00377;AD00377;"Druckereibedarf Vertrieb";;"MaxxDiscount GmbH & Co. KG";19.00;335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00378;AD00378;Druckereien;;"MaxxDiscount GmbH & Co. KG";19.00;2629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00379;AD00379;"Druckerzeugnisse Vertrieb";;"MaxxDiscount GmbH & Co. KG";19.00;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00380;AD00380;"Druckindustrie Hersteller";;"MaxxDiscount GmbH & Co. KG";19.00;4004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00381;AD00381;"Edeka Einzelhandel";;"MaxxDiscount GmbH & Co. KG";19.00;2868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00382;AD00382;"Edelstahlbe- und -verarbeitung";;"MaxxDiscount GmbH & Co. KG";19.00;1877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00383;AD00383;"Edelsteine Einzelhandel";;"MaxxDiscount GmbH & Co. KG";19.00;738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00384;AD00384;"Edelsteine und Halbedelsteine ";;"MaxxDiscount GmbH & Co. KG";19.00;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00385;AD00385;Edelsteinschleifereien;;"MaxxDiscount GmbH & Co. KG";19.00;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00386;AD00386;"EDV-Anlagen Vertrieb";;"MaxxDiscount GmbH & Co. KG";19.00;3199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00387;AD00387;EDV-Berater;;"MaxxDiscount GmbH & Co. KG";19.00;601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00388;AD00388;EDV-Beratungsgesellschaften;;"MaxxDiscount GmbH & Co. KG";19.00;601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00389;AD00389;EDV-Beratungsunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;2656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00390;AD00390;"EDV-Beratungsunternehmen und S";;"MaxxDiscount GmbH & Co. KG";19.00;4183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00391;AD00391;EDV-Consultingunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;2656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00392;AD00392;EDV-Dienstleistungsunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;2656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00393;AD00393;"EDV-Geräte Kundendienste";;"MaxxDiscount GmbH & Co. KG";19.00;7447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00394;AD00394;"EDV-Peripherie & -zubehör Groß";;"MaxxDiscount GmbH & Co. KG";19.00;3199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00395;AD00395;EDV-Rechenzentren;;"MaxxDiscount GmbH & Co. KG";19.00;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00396;AD00396;"EDV-Zubehör Vertrieb";;"MaxxDiscount GmbH & Co. KG";19.00;3199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00397;AD00397;Eiltransportunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;2627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00398;AD00398;Einkaufszentren;;"MaxxDiscount GmbH & Co. KG";19.00;3430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00399;AD00399;"Einrichtungshäuser Einzelhande";;"MaxxDiscount GmbH & Co. KG";19.00;4089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00400;AD00400;Einzelhandel;;"MaxxDiscount GmbH & Co. KG";19.00;48277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00401;AD00401;"Einzelhandel und Versandhandel";;"MaxxDiscount GmbH & Co. KG";19.00;48277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00402;AD00402;"Eisen Großhandel";;"MaxxDiscount GmbH & Co. KG";19.00;633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00403;AD00403;"Eisen und Metall Handwerk";;"MaxxDiscount GmbH & Co. KG";19.00;10577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00404;AD00404;"Eisen und Metall Vertrieb";;"MaxxDiscount GmbH & Co. KG";19.00;458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00405;AD00405;"Eisen, Röhren und Stahl Großha";;"MaxxDiscount GmbH & Co. KG";19.00;458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00406;AD00406;"Eisen- und Metallerzeugung und";;"MaxxDiscount GmbH & Co. KG";19.00;1877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00407;AD00407;Eisenbahn-Vereine;;"MaxxDiscount GmbH & Co. KG";19.00;3909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00408;AD00408;Eisenbahnersport-Vereine;;"MaxxDiscount GmbH & Co. KG";19.00;2157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00409;AD00409;Eisenbahngesellschaften;;"MaxxDiscount GmbH & Co. KG";19.00;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00410;AD00410;"Eisenwaren Einzelhandel";;"MaxxDiscount GmbH & Co. KG";19.00;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00411;AD00411;"Eisenwaren Großhandel";;"MaxxDiscount GmbH & Co. KG";19.00;458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00412;AD00412;Eissalons;;"MaxxDiscount GmbH & Co. KG";19.00;279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00413;AD00413;"Eisschieß-Vereine (Eisstocksch";;"MaxxDiscount GmbH & Co. KG";19.00;2157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00414;AD00414;Eissport-Vereine;;"MaxxDiscount GmbH & Co. KG";19.00;2157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00415;AD00415;Eisstadien;;"MaxxDiscount GmbH & Co. KG";19.00;2089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00416;AD00416;"Elektr. Bauelemente Hersteller";;"MaxxDiscount GmbH & Co. KG";19.00;944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00417;AD00417;"Elektrische Geräte Einzelhande";;"MaxxDiscount GmbH & Co. KG";19.00;1660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00418;AD00418;"Elektrische Haushaltsgeräte Ei";;"MaxxDiscount GmbH & Co. KG";19.00;2259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00419;AD00419;"Elektro Großhandel";;"MaxxDiscount GmbH & Co. KG";19.00;3199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00420;AD00420;"Elektrobedarf Einzelhandel";;"MaxxDiscount GmbH & Co. KG";19.00;1660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00421;AD00421;"Elektrohaushaltsgeräte Großhan";;"MaxxDiscount GmbH & Co. KG";19.00;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00422;AD00422;Elektroinstallateure;;"MaxxDiscount GmbH & Co. KG";19.00;7003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00423;AD00423;"Elektroinstallationsgeräte und";;"MaxxDiscount GmbH & Co. KG";19.00;6728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00424;AD00424;"Elektromotoren Großhandel";;"MaxxDiscount GmbH & Co. KG";19.00;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00425;AD00425;"Elektromotoren Hersteller";;"MaxxDiscount GmbH & Co. KG";19.00;164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00426;AD00426;"Elektronik, Elektrotechnik und";;"MaxxDiscount GmbH & Co. KG";19.00;2284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00427;AD00427;"Elektronikgeräte Hersteller";;"MaxxDiscount GmbH & Co. KG";19.00;4316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00428;AD00428;"Elektroschaltanlagen Herstelle";;"MaxxDiscount GmbH & Co. KG";19.00;545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00429;AD00429;"Elektroschaltgeräte und Sicher";;"MaxxDiscount GmbH & Co. KG";19.00;545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00430;AD00430;"Elektrotechnik und Elektronik ";;"MaxxDiscount GmbH & Co. KG";19.00;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00431;AD00431;"Elektrotechnik und Elektronik ";;"MaxxDiscount GmbH & Co. KG";19.00;3199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00432;AD00432;"Elektrotechnik und Elektronik ";;"MaxxDiscount GmbH & Co. KG";19.00;3199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00433;AD00433;"Elektrotechnik, Elektronik und";;"MaxxDiscount GmbH & Co. KG";19.00;109280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00434;AD00434;"Elektrotechnik, Elektronik und";;"MaxxDiscount GmbH & Co. KG";19.00;1660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00435;AD00435;"Elektrotechnik, Elektronik und";;"MaxxDiscount GmbH & Co. KG";19.00;2351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00436;AD00436;Elektrotechnik-Sachverständige;;"MaxxDiscount GmbH & Co. KG";19.00;2393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00437;AD00437;"Elektrotechnische Apparate Her";;"MaxxDiscount GmbH & Co. KG";19.00;4316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00438;AD00438;"Elektrotechnische und Elektron";;"MaxxDiscount GmbH & Co. KG";19.00;1660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00439;AD00439;"Elektrotechnische und Elektron";;"MaxxDiscount GmbH & Co. KG";19.00;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00440;AD00440;"Eltern- und Familien-Vereine";;"MaxxDiscount GmbH & Co. KG";19.00;3909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00441;AD00441;Energieberatungsunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;8644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00442;AD00442;"Energiegewinnung Dienstleistun";;"MaxxDiscount GmbH & Co. KG";19.00;8644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00443;AD00443;"Energiegewinnung, Energieverso";;"MaxxDiscount GmbH & Co. KG";19.00;1329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00444;AD00444;Energieversorgungsunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00445;AD00445;Entsorgungsunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00446;AD00446;Erdbauunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00447;AD00447;"Erholungs- und Genesungsheime";;"MaxxDiscount GmbH & Co. KG";19.00;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00448;AD00448;Ernährungsberatung;;"MaxxDiscount GmbH & Co. KG";19.00;2871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00449;AD00449;"Erneuerbare Energien";;"MaxxDiscount GmbH & Co. KG";19.00;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00450;AD00450;Erwachsenenbildung;;"MaxxDiscount GmbH & Co. KG";19.00;3553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00451;AD00451;Erziehungsberatungsstellen;;"MaxxDiscount GmbH & Co. KG";19.00;445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00452;AD00452;Esso-Tankstellen;;"MaxxDiscount GmbH & Co. KG";19.00;394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00453;AD00453;Estrichbodenleger;;"MaxxDiscount GmbH & Co. KG";19.00;255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00454;AD00454;Europcar/InterRent-Autovermiet;;"MaxxDiscount GmbH & Co. KG";19.00;720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00455;AD00455;"Evangelische Kindergärten";;"MaxxDiscount GmbH & Co. KG";19.00;2258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00456;AD00456;"Evangelische Pfarrämter";;"MaxxDiscount GmbH & Co. KG";19.00;2859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00457;AD00457;"Eventagenturen (Veranstaltungs";;"MaxxDiscount GmbH & Co. KG";19.00;9989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00458;AD00458;Exporteure;;"MaxxDiscount GmbH & Co. KG";19.00;27798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00459;AD00459;"Exporteure und Importeure";;"MaxxDiscount GmbH & Co. KG";19.00;7601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00460;AD00460;Färbereien;;"MaxxDiscount GmbH & Co. KG";19.00;765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00461;AD00461;"Förderanlagen Hersteller";;"MaxxDiscount GmbH & Co. KG";19.00;657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00462;AD00462;Förderungs-Vereine;;"MaxxDiscount GmbH & Co. KG";19.00;3909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00463;AD00463;Förstereien;;"MaxxDiscount GmbH & Co. KG";19.00;291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00464;AD00464;Fachärzte;;"MaxxDiscount GmbH & Co. KG";19.00;10779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00465;AD00465;"Fachanwälte für Arbeitsrecht";;"MaxxDiscount GmbH & Co. KG";19.00;8989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00466;AD00466;"Fachanwälte für Architektenrec";;"MaxxDiscount GmbH & Co. KG";19.00;8989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00467;AD00467;"Fachanwälte für Strafrecht";;"MaxxDiscount GmbH & Co. KG";19.00;8989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00468;AD00468;Fachbuchverlage;;"MaxxDiscount GmbH & Co. KG";19.00;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00469;AD00469;Fachkliniken;;"MaxxDiscount GmbH & Co. KG";19.00;1078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00470;AD00470;Fachschulen;;"MaxxDiscount GmbH & Co. KG";19.00;432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00471;AD00471;"Facility Management Unternehme";;"MaxxDiscount GmbH & Co. KG";19.00;8644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00472;AD00472;"Fahrräder Einzelhändler und We";;"MaxxDiscount GmbH & Co. KG";19.00;456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00473;AD00473;"Fahrräder und Fahrradteile Gro";;"MaxxDiscount GmbH & Co. KG";19.00;998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00474;AD00474;"Fahrschulen, gesamt";;"MaxxDiscount GmbH & Co. KG";19.00;2365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00475;AD00475;Fahrzeugbauunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;8880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00476;AD00476;"Fahrzeuge Großhandel";;"MaxxDiscount GmbH & Co. KG";19.00;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00477;AD00477;"Fahrzeuge, Fahrzeugteile und -";;"MaxxDiscount GmbH & Co. KG";19.00;15211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00478;AD00478;"Fahrzeuge, Fahrzeugteile und -";;"MaxxDiscount GmbH & Co. KG";19.00;15211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00479;AD00479;"Fahrzeuge, Fahrzeugteile und -";;"MaxxDiscount GmbH & Co. KG";19.00;15211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00480;AD00480;"Fahrzeugeinzelhändler mit Werk";;"MaxxDiscount GmbH & Co. KG";19.00;15211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00481;AD00481;"Fahrzeugteile und -Zubehör Ein";;"MaxxDiscount GmbH & Co. KG";19.00;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00482;AD00482;"Fahrzeugteile und -Zubehör Gro";;"MaxxDiscount GmbH & Co. KG";19.00;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00483;AD00483;"Fahrzeugteile und -Zubehör Her";;"MaxxDiscount GmbH & Co. KG";19.00;393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00484;AD00484;Fahrzeugwerkstätten;;"MaxxDiscount GmbH & Co. KG";19.00;7039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
